Model	Origin	Acceleration	Cylinders	Displacement	Horsepower	MPG	Mfg	Weigth
chevrolet	USA	12	8	307	130	18	70	3504
buick	USA	11.5	8	350	165	15	70	3693
plymouth	USA	11	8	318	150	18	70	3436
amc	USA	12	8	304	150	16	70	3433
ford	USA	10.5	8	302	140	17	70	3449
ford	USA	10	8	429	198	15	70	4341
chevrolet	USA	9	8	454	220	14	70	4354
plymouth	USA	8.5	8	440	215	14	70	4312
pontiac	USA	10	8	455	225	14	70	4425
amc	USA	8.5	8	390	190	15	70	3850
citroen	France	17.5	4	133	115	NaN	70	3090
chevrolet	USA	11.5	8	350	165	NaN	70	4142
ford	USA	11	8	351	153	NaN	70	4034
plymouth	USA	10.5	8	383	175	NaN	70	4166
amc	USA	11	8	360	175	NaN	70	3850
dodge	USA	10	8	383	170	15	70	3563
plymouth	USA	8	8	340	160	14	70	3609
ford	USA	8	8	302	140	NaN	70	3353
chevrolet	USA	9.5	8	400	150	15	70	3761
buick	USA	10	8	455	225	14	70	3086
toyota	Japan	15	4	113	95	24	70	2372
plymouth	USA	15.5	6	198	95	22	70	2833
amc	USA	15.5	6	199	97	18	70	2774
ford	USA	16	6	200	85	21	70	2587
datsun	Japan	14.5	4	97	88	27	70	2130
volkswagen	Germany	20.5	4	97	46	26	70	1835
peugeot	France	17.5	4	110	87	25	70	2672
audi	Germany	14.5	4	107	90	24	70	2430
saab	Sweden	17.5	4	104	95	25	70	2375
bmw	Germany	12.5	4	121	113	26	70	2234
amc	USA	15	6	199	90	21	70	2648
ford	USA	14	8	360	215	10	70	4615
chevrolet	USA	15	8	307	200	10	70	4376
dodge	USA	13.5	8	318	210	11	70	4382
ih	USA	18.5	8	304	193	9	70	4732
fiat	Italy	15.5	4	107	86	28	76	2464
opel	Germany	16.9	4	116	81	25	76	2220
ford	USA	14.9	4	140	92	25	76	2572
dodge	USA	17.7	4	98	79	26	76	2255
renault	France	15.3	4	101	83	27	76	2202
chevrolet	USA	13	8	305	140	17.5	76	4215
dodge	USA	13	8	318	150	16	76	4190
amc	USA	13.9	8	304	120	15.5	76	3962
ford	USA	12.8	8	351	152	14.5	76	4215
plymouth	USA	15.4	6	225	100	22	76	3233
chevrolet	USA	14.5	6	250	105	22	76	3353
ford	USA	17.6	6	200	81	24	76	3012
amc	USA	17.6	6	232	90	22.5	76	3085
chevrolet	USA	22.2	4	85	52	29	76	2035
chevrolet	USA	22.1	4	98	60	24.5	76	2164
volkswagen	Germany	14.2	4	90	70	29	76	1937
honda	Japan	17.4	4	91	53	33	76	1795
dodge	USA	17.7	6	225	100	20	76	3651
ford	USA	21	6	250	78	18	76	3574
pontiac	USA	16.2	6	250	110	18.5	76	3645
amc	USA	17.8	6	258	95	17.5	76	3193
volkswagen	Germany	12.2	4	97	71	29.5	76	1825
datsun	Japan	17	4	85	70	32	76	1990
toyota	Japan	16.4	4	97	75	28	76	2155
ford	USA	13.6	4	140	72	26.5	76	2565
volvo	Sweden	15.7	4	130	102	20	76	3150
plymouth	USA	13.2	8	318	150	13	76	3940
peugeot	France	21.9	4	120	88	19	76	3270
toyota	Japan	15.5	6	156	108	19	76	2930
mercedes-benz	Germany	16.7	6	168	120	16.5	76	3820
cadillac	USA	12.1	8	350	180	16.5	76	4380
chevrolet	USA	12	8	350	145	13	76	4055
ford	USA	15	8	302	130	13	76	3870
dodge	USA	14	8	318	150	13	76	3755
chevrolet	USA	19.6	4	112	88	28	82	2605
chevrolet	USA	18.6	4	112	88	27	82	2640
chevrolet	USA	18	4	112	88	34	82	2395
pontiac	USA	16.2	4	112	85	31	82	2575
dodge	USA	16	4	135	84	29	82	2525
pontiac	USA	18	4	151	90	27	82	2735
ford	USA	16.4	4	140	92	24	82	2865
amc	USA	20.5	4	151	NaN	23	82	3035
volkswagen	Germany	15.3	4	105	74	36	82	1980
mazda	Japan	18.2	4	91	68	37	82	2025
mazda	Japan	17.6	4	91	68	31	82	1970
plymouth	USA	14.7	4	105	63	38	82	2125
mercury	USA	17.3	4	98	70	36	82	2125
nissan	Japan	14.5	4	120	88	36	82	2160
honda	Japan	14.5	4	107	75	36	82	2205
toyota	Japan	16.9	4	108	70	34	82	2245
honda	Japan	15	4	91	67	38	82	1965
honda	Japan	15.7	4	91	67	32	82	1965
datsun	Japan	16.2	4	91	67	38	82	1995
buick	USA	16.4	6	181	110	25	82	2945
oldsmobile	USA	17	6	262	85	38	82	3015
chrysler	USA	14.5	4	156	92	26	82	2585
ford	USA	14.7	6	232	112	22	82	2835
toyota	Japan	13.9	4	144	96	32	82	2665
dodge	USA	13	4	135	84	36	82	2370
chevrolet	USA	17.3	4	151	90	27	82	2950
ford	USA	15.6	4	140	86	27	82	2790
volkswagen	Germany	24.6	4	97	52	44	82	2130
dodge	USA	11.6	4	135	84	32	82	2295
ford	USA	18.6	4	120	79	28	82	2625
chevrolet	USA	19.4	4	119	82	31	82	2720
